,Dataset,Frame,Synthesized View,X.passes,WS.PSNR,CEL,theo_time,p1,p2,p3
188,TechnicolorMuseum,50,3,3,19.1244,-0.005492306630787268,159.423,4,6,7
189,TechnicolorMuseum,50,3,3,19.1598,-0.0052702558601958275,159.423,5,6,7
190,TechnicolorMuseum,50,4,1,15.7776,-0.24652031760859414,17.128,1,0,0
191,TechnicolorMuseum,50,4,1,15.841,-0.20393252917524768,20.394,2,0,0
192,TechnicolorMuseum,50,4,1,15.7988,-0.05658639081946016,74.244,3,0,0
193,TechnicolorMuseum,50,4,1,15.8066,-0.04078230763245935,102.824,4,0,0
194,TechnicolorMuseum,50,4,1,15.7708,-0.03629498039013757,116.523,5,0,0
195,TechnicolorMuseum,50,4,1,15.8118,-0.02619229277932734,159.902,6,0,0
196,TechnicolorMuseum,50,4,1,15.8118,-0.026270989756810498,159.423,7,0,0
197,TechnicolorMuseum,50,4,2,15.8653,-0.2027410022555654,20.394,1,2,0
198,TechnicolorMuseum,50,4,2,15.8249,-0.056234847260384684,74.244,1,3,0
199,TechnicolorMuseum,50,4,2,15.831,-0.04054500894732748,102.824,1,4,0
200,TechnicolorMuseum,50,4,2,15.8359,-0.035736292405791126,116.523,1,5,0
201,TechnicolorMuseum,50,4,2,15.849,-0.025959650285800055,159.902,1,6,0
202,TechnicolorMuseum,50,4,2,15.849,-0.026037648269070332,159.423,1,7,0
203,TechnicolorMuseum,50,4,2,15.8033,-0.05652577986099887,74.244,2,3,0
204,TechnicolorMuseum,50,4,2,15.8098,-0.04075118649342567,102.824,2,4,0
205,TechnicolorMuseum,50,4,2,15.8165,-0.035902783141525715,116.523,2,5,0
206,TechnicolorMuseum,50,4,2,15.8308,-0.026073470000375232,159.902,2,6,0
207,TechnicolorMuseum,50,4,2,15.8308,-0.026151809964685146,159.423,2,7,0
208,TechnicolorMuseum,50,4,2,15.8007,-0.040839687232552706,102.824,3,4,0
209,TechnicolorMuseum,50,4,2,15.816,-0.03590707413986938,116.523,3,5,0
210,TechnicolorMuseum,50,4,2,15.8303,-0.026076596915610817,159.902,3,6,0
211,TechnicolorMuseum,50,4,2,15.8303,-0.026154946275004236,159.423,3,7,0
212,TechnicolorMuseum,50,4,2,15.821,-0.03586416415643264,116.523,4,5,0
213,TechnicolorMuseum,50,4,2,15.8354,-0.02604470238020788,159.902,4,6,0
214,TechnicolorMuseum,50,4,2,15.8354,-0.026122955909749536,159.423,4,7,0
215,TechnicolorMuseum,50,4,2,15.7837,-0.02636802541556704,159.902,5,6,0
216,TechnicolorMuseum,50,4,2,15.7837,-0.02644725039674326,159.423,5,7,0
217,TechnicolorMuseum,50,4,2,15.8118,-0.026270989756810498,159.423,6,7,0
218,TechnicolorMuseum,50,4,3,15.8653,-0.055690695544421104,74.244,1,2,3
219,TechnicolorMuseum,50,4,3,15.8653,-0.04021142923831013,102.824,1,2,4
220,TechnicolorMuseum,50,4,3,15.8653,-0.035483981703183065,116.523,1,2,5
221,TechnicolorMuseum,50,4,3,15.8653,-0.02585771284912009,159.902,1,2,6
222,TechnicolorMuseum,50,4,3,15.8653,-0.025935404552668063,159.423,1,2,7
223,TechnicolorMuseum,50,4,3,15.8249,-0.04060433361861045,102.824,1,3,4
224,TechnicolorMuseum,50,4,3,15.8249,-0.035830694369351976,116.523,1,3,5
225,TechnicolorMuseum,50,4,3,15.8249,-0.0261103676001551,159.902,1,3,6
226,TechnicolorMuseum,50,4,3,15.8249,-0.026188818426450388,159.423,1,3,7
227,TechnicolorMuseum,50,4,3,15.831,-0.03577834418955915,116.523,1,4,5
228,TechnicolorMuseum,50,4,3,15.831,-0.026072219234281,159.902,1,4,6
229,TechnicolorMuseum,50,4,3,15.831,-0.026150555440557513,159.423,1,4,7
230,TechnicolorMuseum,50,4,3,15.8359,-0.026041575464972294,159.902,1,5,6
231,TechnicolorMuseum,50,4,3,15.8359,-0.026119819599430442,159.423,1,5,7
232,TechnicolorMuseum,50,4,3,15.849,-0.026037648269070332,159.423,1,6,7
233,TechnicolorMuseum,50,4,3,15.8033,-0.04081440130708784,102.824,2,3,4
234,TechnicolorMuseum,50,4,3,15.8033,-0.03601606549779872,116.523,2,3,5
235,TechnicolorMuseum,50,4,3,15.8033,-0.02624545033833223,159.902,2,3,6
236,TechnicolorMuseum,50,4,3,15.8033,-0.026324307032234998,159.423,2,3,7
237,TechnicolorMuseum,50,4,3,15.8098,-0.035960282519330956,116.523,2,4,5
238,TechnicolorMuseum,50,4,3,15.8098,-0.02620480044026967,159.902,2,4,6
239,TechnicolorMuseum,50,4,3,15.8098,-0.026283534998086857,159.423,2,4,7
240,TechnicolorMuseum,50,4,3,15.8165,-0.026162899776112875,159.902,2,5,6
241,TechnicolorMuseum,50,4,3,15.8165,-0.02624150843981107,159.423,2,5,7
242,TechnicolorMuseum,50,4,3,15.8308,-0.026151809964685146,159.423,2,6,7
243,TechnicolorMuseum,50,4,3,15.8007,-0.03603837868918582,116.523,3,4,5
244,TechnicolorMuseum,50,4,3,15.8007,-0.02626171029755725,159.902,3,4,6
245,TechnicolorMuseum,50,4,3,15.8007,-0.02634061584589425,159.423,3,4,7
246,TechnicolorMuseum,50,4,3,15.816,-0.02616602669134845,159.902,3,5,6
247,TechnicolorMuseum,50,4,3,15.816,-0.026244644750130153,159.423,3,5,7
248,TechnicolorMuseum,50,4,3,15.8303,-0.026154946275004236,159.423,3,6,7
249,TechnicolorMuseum,50,4,3,15.821,-0.026134757538992637,159.902,4,5,6
250,TechnicolorMuseum,50,4,3,15.821,-0.026213281646939274,159.423,4,5,7
251,TechnicolorMuseum,50,4,3,15.8354,-0.026122955909749536,159.423,4,6,7
252,TechnicolorMuseum,50,4,3,15.7837,-0.02644725039674326,159.423,5,6,7
253,TechnicolorMuseum,50,5,1,12.1846,-0.4562937879495563,17.128,1,0,0
254,TechnicolorMuseum,50,5,1,13.7979,-0.30411395508482886,20.394,2,0,0
255,TechnicolorMuseum,50,5,1,13.8312,-0.0830881956791121,74.244,3,0,0
256,TechnicolorMuseum,50,5,1,13.8352,-0.059954874348401146,102.824,4,0,0
257,TechnicolorMuseum,50,5,1,14.6205,-0.046166851179595444,116.523,5,0,0
258,TechnicolorMuseum,50,5,1,14.4736,-0.03456116871583846,159.902,6,0,0
259,TechnicolorMuseum,50,5,1,14.4736,-0.03466501069481819,159.423,7,0,0
260,TechnicolorMuseum,50,5,2,13.8022,-0.3039031087574778,20.394,1,2,0
261,TechnicolorMuseum,50,5,2,13.8366,-0.08301546252895856,74.244,1,3,0
262,TechnicolorMuseum,50,5,2,13.8403,-0.05990527503306622,102.824,1,4,0
263,TechnicolorMuseum,50,5,2,14.6401,-0.0459986440445234,116.523,1,5,0
264,TechnicolorMuseum,50,5,2,14.4768,-0.034541156458330724,159.902,1,6,0
265,TechnicolorMuseum,50,5,2,14.4768,-0.03464493830877602,159.423,1,7,0
266,TechnicolorMuseum,50,5,2,13.8368,-0.08301276870858251,74.244,2,3,0
267,TechnicolorMuseum,50,5,2,13.8401,-0.05990722010425582,102.824,2,4,0
268,TechnicolorMuseum,50,5,2,14.6413,-0.04598834564849859,116.523,2,5,0
269,TechnicolorMuseum,50,5,2,14.4801,-0.03452051881777589,159.902,2,6,0
270,TechnicolorMuseum,50,5,2,14.4801,-0.03462423866067004,159.423,2,7,0
271,TechnicolorMuseum,50,5,2,13.8343,-0.05996362716875437,102.824,3,4,0
272,TechnicolorMuseum,50,5,2,14.6472,-0.04593771186804322,116.523,3,5,0
273,TechnicolorMuseum,50,5,2,14.4859,-0.034484246601043135,159.902,3,6,0
274,TechnicolorMuseum,50,5,2,14.4859,-0.03458785746096861,159.423,3,7,0
275,TechnicolorMuseum,50,5,2,14.6512,-0.04590338388129383,116.523,4,5,0
276,TechnicolorMuseum,50,5,2,14.4897,-0.034460482045252726,159.902,4,6,0
277,TechnicolorMuseum,50,5,2,14.4897,-0.034564021502543556,159.423,4,7,0
278,TechnicolorMuseum,50,5,2,14.4601,-0.03464559542719916,159.902,5,6,0
279,TechnicolorMuseum,50,5,2,14.4601,-0.034749691073433564,159.423,5,7,0
280,TechnicolorMuseum,50,5,2,14.4736,-0.03466501069481819,159.423,6,7,0
281,TechnicolorMuseum,50,5,3,13.8022,-0.08347879963364044,74.244,1,2,3
282,TechnicolorMuseum,50,5,3,13.8022,-0.06027581109468608,102.824,1,2,4
283,TechnicolorMuseum,50,5,3,13.8022,-0.05318949906885337,116.523,1,2,5
284,TechnicolorMuseum,50,5,3,13.8022,-0.03875999049417769,159.902,1,2,6
285,TechnicolorMuseum,50,5,3,13.8022,-0.038876448191289846,159.423,1,2,7
286,TechnicolorMuseum,50,5,3,13.8366,-0.059941258850073904,102.824,1,3,4
287,TechnicolorMuseum,50,5,3,13.8366,-0.05289427838280854,116.523,1,3,5
288,TechnicolorMuseum,50,5,3,13.8366,-0.038544858725969654,159.902,1,3,6
289,TechnicolorMuseum,50,5,3,13.8366,-0.03866067004133657,159.423,1,3,7
290,TechnicolorMuseum,50,5,3,13.8403,-0.05286252499506536,116.523,1,4,5
291,TechnicolorMuseum,50,5,3,13.8403,-0.038521719553226356,159.902,1,4,6
292,TechnicolorMuseum,50,5,3,13.8403,-0.038637461344975324,159.423,1,4,7
293,TechnicolorMuseum,50,5,3,14.6401,-0.03351990594238972,159.902,1,5,6
294,TechnicolorMuseum,50,5,3,14.6401,-0.03362061935856181,159.423,1,5,7
295,TechnicolorMuseum,50,5,3,14.4768,-0.03464493830877602,159.423,1,6,7
296,TechnicolorMuseum,50,5,3,13.8368,-0.059939313778884305,102.824,2,3,4
297,TechnicolorMuseum,50,5,3,13.8368,-0.05289256198347107,116.523,2,3,5
298,TechnicolorMuseum,50,5,3,13.8368,-0.03854360795987542,159.902,2,3,6
299,TechnicolorMuseum,50,5,3,13.8368,-0.03865941551720893,159.423,2,3,7
300,TechnicolorMuseum,50,5,3,13.8401,-0.05286424139440283,116.523,2,4,5
301,TechnicolorMuseum,50,5,3,13.8401,-0.03852297031932059,159.902,2,4,6
302,TechnicolorMuseum,50,5,3,13.8401,-0.03863871586910295,159.423,2,4,7
303,TechnicolorMuseum,50,5,3,14.6413,-0.033512401345824325,159.902,2,5,6
304,TechnicolorMuseum,50,5,3,14.6413,-0.033613092213796006,159.423,2,5,7
305,TechnicolorMuseum,50,5,3,14.4801,-0.03462423866067004,159.423,2,6,7
306,TechnicolorMuseum,50,5,3,13.8343,-0.052914016975189444,116.523,3,4,5
307,TechnicolorMuseum,50,5,3,13.8343,-0.038559242536053334,159.902,3,4,6
308,TechnicolorMuseum,50,5,3,13.8343,-0.03867509706880437,159.423,3,4,7
309,TechnicolorMuseum,50,5,3,14.6472,-0.03347550374604446,159.902,3,5,6
310,TechnicolorMuseum,50,5,3,14.6472,-0.033576083752030764,159.423,3,5,7
311,TechnicolorMuseum,50,5,3,14.4859,-0.03458785746096861,159.423,3,6,7
312,TechnicolorMuseum,50,5,3,14.6512,-0.033450488424159805,159.902,4,5,6
